# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
1.575585e+00  6.262124e-01  6.215840e-01  6.168417e-01  5.867152e-01  5.820050e-01  5.755067e-01  5.665603e-01  5.762228e-01  5.648443e-01  5.705549e-01
1.593238e+00  6.168277e-01  6.122289e-01  6.075225e-01  5.775748e-01  5.728995e-01  5.664538e-01  5.575839e-01  5.671317e-01  5.558467e-01  5.615060e-01
1.610892e+00  6.075753e-01  6.030053e-01  5.983340e-01  5.685598e-01  5.639188e-01  5.575244e-01  5.487295e-01  5.581644e-01  5.469709e-01  5.525800e-01
1.628545e+00  5.984492e-01  5.939073e-01  5.892702e-01  5.596647e-01  5.550570e-01  5.487130e-01  5.399914e-01  5.493152e-01  5.382113e-01  5.437710e-01
1.646199e+00  5.894436e-01  5.849291e-01  5.803256e-01  5.508835e-01  5.463086e-01  5.400138e-01  5.313642e-01  5.405785e-01  5.295624e-01  5.350736e-01
1.663852e+00  5.805528e-01  5.760650e-01  5.714944e-01  5.422111e-01  5.376681e-01  5.314216e-01  5.228424e-01  5.319489e-01  5.210187e-01  5.264824e-01
1.681506e+00  5.717714e-01  5.673098e-01  5.627712e-01  5.336421e-01  5.291304e-01  5.229311e-01  5.144209e-01  5.234212e-01  5.125752e-01  5.179921e-01
1.699159e+00  5.630941e-01  5.586580e-01  5.541509e-01  5.251713e-01  5.206902e-01  5.145372e-01  5.060947e-01  5.149903e-01  5.042268e-01  5.095978e-01
1.716812e+00  5.545159e-01  5.501047e-01  5.456283e-01  5.167939e-01  5.123428e-01  5.062350e-01  4.978589e-01  5.066514e-01  4.959687e-01  5.012946e-01
1.734466e+00  5.460318e-01  5.416449e-01  5.371986e-01  5.085051e-01  5.040832e-01  4.980199e-01  4.897088e-01  4.983996e-01  4.877961e-01  4.930777e-01
1.752119e+00  5.376369e-01  5.332738e-01  5.288570e-01  5.003001e-01  4.959069e-01  4.898871e-01  4.816399e-01  4.902304e-01  4.797045e-01  4.849426e-01
1.769773e+00  5.293267e-01  5.249867e-01  5.205989e-01  4.921746e-01  4.878095e-01  4.818323e-01  4.736476e-01  4.821393e-01  4.716895e-01  4.768848e-01
1.787426e+00  5.210967e-01  5.167793e-01  5.124197e-01  4.841240e-01  4.797864e-01  4.738511e-01  4.657277e-01  4.741219e-01  4.637467e-01  4.688999e-01
1.805080e+00  5.129423e-01  5.086470e-01  5.043151e-01  4.761442e-01  4.718335e-01  4.659392e-01  4.578760e-01  4.661740e-01  4.558720e-01  4.609838e-01
1.822733e+00  5.048594e-01  5.005857e-01  4.962809e-01  4.682311e-01  4.639467e-01  4.580925e-01  4.500884e-01  4.582916e-01  4.480612e-01  4.531324e-01
