# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
1.224242e+00  8.522770e-01  8.470387e-01  8.414295e-01  8.060250e-01  8.004594e-01  7.926149e-01  7.816743e-01  7.942177e-01  7.804185e-01  7.876140e-01
1.236364e+00  8.428520e-01  8.376431e-01  8.320718e-01  7.969011e-01  7.913724e-01  7.835844e-01  7.727268e-01  7.851567e-01  7.714585e-01  7.786011e-01
1.248485e+00  8.335765e-01  8.283965e-01  8.228623e-01  7.879203e-01  7.824278e-01  7.746952e-01  7.639191e-01  7.762374e-01  7.626381e-01  7.697287e-01
1.260606e+00  8.244462e-01  8.192946e-01  8.137967e-01  7.790785e-01  7.736214e-01  7.659432e-01  7.552473e-01  7.674554e-01  7.539534e-01  7.609927e-01
1.272727e+00  8.154569e-01  8.103330e-01  8.048708e-01  7.703715e-01  7.649492e-01  7.573244e-01  7.467071e-01  7.588067e-01  7.454002e-01  7.523893e-01
1.284848e+00  8.066045e-01  8.015077e-01  7.960805e-01  7.617955e-01  7.564073e-01  7.488349e-01  7.382950e-01  7.502876e-01  7.369749e-01  7.439145e-01
1.296970e+00  7.978852e-01  7.928149e-01  7.874221e-01  7.533466e-01  7.479919e-01  7.404710e-01  7.300070e-01  7.418942e-01  7.286736e-01  7.355645e-01
1.309091e+00  7.892949e-01  7.842507e-01  7.788915e-01  7.450212e-01  7.396993e-01  7.322290e-01  7.218396e-01  7.336229e-01  7.204927e-01  7.273358e-01
1.321212e+00  7.808301e-01  7.758113e-01  7.704853e-01  7.368156e-01  7.315259e-01  7.241053e-01  7.137893e-01  7.254701e-01  7.124287e-01  7.192247e-01
1.333333e+00  7.724871e-01  7.674932e-01  7.621997e-01  7.287264e-01  7.234684e-01  7.160966e-01  7.058526e-01  7.174323e-01  7.044783e-01  7.112280e-01
1.345455e+00  7.642624e-01  7.592930e-01  7.540314e-01  7.207503e-01  7.155233e-01  7.081994e-01  6.980263e-01  7.095063e-01  6.966381e-01  7.033422e-01
1.357576e+00  7.561526e-01  7.512072e-01  7.459769e-01  7.128839e-01  7.076874e-01  7.004106e-01  6.903072e-01  7.016888e-01  6.889049e-01  6.955642e-01
1.369697e+00  7.481545e-01  7.432325e-01  7.380329e-01  7.051241e-01  6.999575e-01  6.927270e-01  6.826921e-01  6.939767e-01  6.812757e-01  6.878908e-01
1.381818e+00  7.402648e-01  7.353658e-01  7.301964e-01  6.974679e-01  6.923306e-01  6.851456e-01  6.751781e-01  6.863669e-01  6.737473e-01  6.803190e-01
1.393939e+00  7.324805e-01  7.276039e-01  7.224643e-01  6.899121e-01  6.848037e-01  6.776634e-01  6.677621e-01  6.788564e-01  6.663169e-01  6.728458e-01
1.406061e+00  7.247984e-01  7.199440e-01  7.148334e-01  6.824539e-01  6.773739e-01  6.702776e-01  6.604414e-01  6.714424e-01  6.589816e-01  6.654684e-01
1.418182e+00  7.172158e-01  7.123829e-01  7.073010e-01  6.750905e-01  6.700383e-01  6.629852e-01  6.532131e-01  6.641220e-01  6.517387e-01  6.581840e-01
1.430303e+00  7.097296e-01  7.049180e-01  6.998641e-01  6.678192e-01  6.627943e-01  6.557836e-01  6.460746e-01  6.568926e-01  6.445854e-01  6.509898e-01
1.442424e+00  7.023372e-01  6.975463e-01  6.925201e-01  6.606371e-01  6.556391e-01  6.486702e-01  6.390233e-01  6.497514e-01  6.375191e-01  6.438833e-01
1.454545e+00  6.950359e-01  6.902653e-01  6.852662e-01  6.535419e-01  6.485702e-01  6.416424e-01  6.320565e-01  6.426959e-01  6.305372e-01  6.368618e-01
1.466667e+00  6.878230e-01  6.830723e-01  6.780999e-01  6.465308e-01  6.415850e-01  6.346977e-01  6.251718e-01  6.357236e-01  6.236374e-01  6.299229e-01
1.478788e+00  6.806959e-01  6.759648e-01  6.710186e-01  6.396015e-01  6.346812e-01  6.278335e-01  6.183668e-01  6.288321e-01  6.168171e-01  6.230642e-01
1.490909e+00  6.736522e-01  6.689402e-01  6.640198e-01  6.327515e-01  6.278562e-01  6.210477e-01  6.116391e-01  6.220189e-01  6.100740e-01  6.162832e-01
1.503030e+00  6.666895e-01  6.619962e-01  6.571011e-01  6.259786e-01  6.211078e-01  6.143377e-01  6.049864e-01  6.152818e-01  6.034058e-01  6.095776e-01
1.515152e+00  6.598053e-01  6.551305e-01  6.502603e-01  6.192803e-01  6.144337e-01  6.077015e-01  5.984066e-01  6.086184e-01  5.968104e-01  6.029453e-01
1.527273e+00  6.529974e-01  6.483406e-01  6.434949e-01  6.126546e-01  6.078317e-01  6.011367e-01  5.918973e-01  6.020267e-01  5.902854e-01  5.963841e-01
1.539394e+00  6.462636e-01  6.416245e-01  6.368028e-01  6.060992e-01  6.012997e-01  5.946413e-01  5.854565e-01  5.955043e-01  5.838288e-01  5.898917e-01
1.551515e+00  6.396016e-01  6.349798e-01  6.301817e-01  5.996120e-01  5.948354e-01  5.882131e-01  5.790822e-01  5.890494e-01  5.774385e-01  5.834661e-01
1.563636e+00  6.330094e-01  6.284045e-01  6.236297e-01  5.931911e-01  5.884370e-01  5.818501e-01  5.727722e-01  5.826597e-01  5.711125e-01  5.771053e-01
1.575758e+00  6.264847e-01  6.218965e-01  6.171446e-01  5.868342e-01  5.821023e-01  5.755504e-01  5.665247e-01  5.763333e-01  5.648489e-01  5.708074e-01
1.587879e+00  6.200257e-01  6.154538e-01  6.107244e-01  5.805396e-01  5.758295e-01  5.693119e-01  5.603377e-01  5.700683e-01  5.586456e-01  5.645703e-01
1.600000e+00  6.136303e-01  6.090745e-01  6.043671e-01  5.743053e-01  5.696166e-01  5.631328e-01  5.542093e-01  5.638629e-01  5.525009e-01  5.583922e-01
1.612121e+00  6.072967e-01  6.027564e-01  5.980709e-01  5.681294e-01  5.634618e-01  5.570113e-01  5.481376e-01  5.577150e-01  5.464129e-01  5.522712e-01
1.624242e+00  6.010228e-01  5.964979e-01  5.918338e-01  5.620102e-01  5.573632e-01  5.509455e-01  5.421210e-01  5.516229e-01  5.403798e-01  5.462056e-01
1.636364e+00  5.948069e-01  5.902971e-01  5.856540e-01  5.559457e-01  5.513192e-01  5.449337e-01  5.361577e-01  5.455850e-01  5.343998e-01  5.401936e-01
1.648485e+00  5.886471e-01  5.841521e-01  5.795297e-01  5.499344e-01  5.453278e-01  5.389742e-01  5.302459e-01  5.395993e-01  5.284714e-01  5.342335e-01
1.660606e+00  5.825418e-01  5.780613e-01  5.734592e-01  5.439744e-01  5.393876e-01  5.330652e-01  5.243839e-01  5.336643e-01  5.225927e-01  5.283236e-01
1.672727e+00  5.764891e-01  5.720228e-01  5.674408e-01  5.380642e-01  5.334967e-01  5.272052e-01  5.185703e-01  5.277783e-01  5.167621e-01  5.224622e-01
1.684848e+00  5.704875e-01  5.660351e-01  5.614728e-01  5.322020e-01  5.276536e-01  5.213925e-01  5.128032e-01  5.219397e-01  5.109781e-01  5.166479e-01
1.696970e+00  5.645352e-01  5.600965e-01  5.555535e-01  5.263864e-01  5.218567e-01  5.156255e-01  5.070813e-01  5.161469e-01  5.052392e-01  5.108789e-01
1.709091e+00  5.586307e-01  5.542053e-01  5.496815e-01  5.206157e-01  5.161045e-01  5.099027e-01  5.014029e-01  5.103984e-01  4.995437e-01  5.051537e-01
1.721212e+00  5.527723e-01  5.483601e-01  5.438550e-01  5.148885e-01  5.103954e-01  5.042227e-01  4.957666e-01  5.046926e-01  4.938902e-01  4.994710e-01
1.733333e+00  5.469586e-01  5.425593e-01  5.380727e-01  5.092033e-01  5.047280e-01  4.985838e-01  4.901710e-01  4.990282e-01  4.882772e-01  4.938291e-01
1.745455e+00  5.411881e-01  5.368013e-01  5.323329e-01  5.035585e-01  4.991008e-01  4.929848e-01  4.846145e-01  4.934036e-01  4.827034e-01  4.882268e-01
1.757576e+00  5.354592e-01  5.310848e-01  5.266342e-01  4.979528e-01  4.935124e-01  4.874241e-01  4.790957e-01  4.878175e-01  4.771672e-01  4.826624e-01
