# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
1.224242e+00  1.830879e+00  1.816489e+00  1.801111e+00  1.729154e+00  1.711024e+00  1.686754e+00  1.654234e+00  1.631662e+00  1.589415e+00  1.642045e+00
1.236364e+00  1.822141e+00  1.807749e+00  1.792369e+00  1.720695e+00  1.702563e+00  1.678292e+00  1.645769e+00  1.623295e+00  1.581046e+00  1.633708e+00
1.248485e+00  1.813523e+00  1.799127e+00  1.783745e+00  1.712344e+00  1.694209e+00  1.669935e+00  1.637411e+00  1.615033e+00  1.572779e+00  1.625475e+00
1.260606e+00  1.805023e+00  1.790622e+00  1.775237e+00  1.704100e+00  1.685962e+00  1.661685e+00  1.629157e+00  1.606873e+00  1.564614e+00  1.617344e+00
1.272727e+00  1.796641e+00  1.782235e+00  1.766845e+00  1.695963e+00  1.677821e+00  1.653540e+00  1.621008e+00  1.598816e+00  1.556550e+00  1.609315e+00
1.284848e+00  1.788376e+00  1.773963e+00  1.758569e+00  1.687933e+00  1.669786e+00  1.645499e+00  1.612962e+00  1.590862e+00  1.548588e+00  1.601386e+00
1.296970e+00  1.780229e+00  1.765807e+00  1.750407e+00  1.680008e+00  1.661855e+00  1.637563e+00  1.605020e+00  1.583009e+00  1.540725e+00  1.593559e+00
1.309091e+00  1.772197e+00  1.757765e+00  1.742359e+00  1.672188e+00  1.654029e+00  1.629730e+00  1.597180e+00  1.575257e+00  1.532962e+00  1.585831e+00
1.321212e+00  1.764281e+00  1.749839e+00  1.734425e+00  1.664473e+00  1.646306e+00  1.622000e+00  1.589443e+00  1.567605e+00  1.525299e+00  1.578202e+00
1.333333e+00  1.756480e+00  1.742026e+00  1.726605e+00  1.656862e+00  1.638686e+00  1.614372e+00  1.581807e+00  1.560053e+00  1.517734e+00  1.570673e+00
1.345455e+00  1.748794e+00  1.734327e+00  1.718897e+00  1.649355e+00  1.631170e+00  1.606846e+00  1.574272e+00  1.552601e+00  1.510266e+00  1.563241e+00
1.357576e+00  1.741222e+00  1.726740e+00  1.711301e+00  1.641950e+00  1.623755e+00  1.599422e+00  1.566838e+00  1.545247e+00  1.502897e+00  1.555908e+00
1.369697e+00  1.733763e+00  1.719266e+00  1.703817e+00  1.634648e+00  1.616442e+00  1.592098e+00  1.559504e+00  1.537992e+00  1.495625e+00  1.548672e+00
1.381818e+00  1.726418e+00  1.711904e+00  1.696444e+00  1.627448e+00  1.609231e+00  1.584875e+00  1.552269e+00  1.530835e+00  1.488449e+00  1.541533e+00
1.393939e+00  1.719185e+00  1.704654e+00  1.689182e+00  1.620350e+00  1.602120e+00  1.577752e+00  1.545134e+00  1.523775e+00  1.481370e+00  1.534490e+00
1.406061e+00  1.712065e+00  1.697515e+00  1.682030e+00  1.613353e+00  1.595110e+00  1.570729e+00  1.538097e+00  1.516813e+00  1.474386e+00  1.527544e+00
1.418182e+00  1.705057e+00  1.690487e+00  1.674988e+00  1.606457e+00  1.588200e+00  1.563805e+00  1.531159e+00  1.509947e+00  1.467498e+00  1.520693e+00
1.430303e+00  1.698160e+00  1.683569e+00  1.668056e+00  1.599662e+00  1.581390e+00  1.556980e+00  1.524320e+00  1.503178e+00  1.460705e+00  1.513938e+00
1.442424e+00  1.691375e+00  1.676761e+00  1.661233e+00  1.592967e+00  1.574679e+00  1.550253e+00  1.517577e+00  1.496505e+00  1.454006e+00  1.507278e+00
1.454545e+00  1.684700e+00  1.670063e+00  1.654520e+00  1.586372e+00  1.568067e+00  1.543625e+00  1.510933e+00  1.489928e+00  1.447402e+00  1.500712e+00
1.466667e+00  1.678137e+00  1.663474e+00  1.647915e+00  1.579876e+00  1.561554e+00  1.537094e+00  1.504385e+00  1.483446e+00  1.440892e+00  1.494241e+00
1.478788e+00  1.671683e+00  1.656995e+00  1.641418e+00  1.573479e+00  1.555139e+00  1.530661e+00  1.497934e+00  1.477059e+00  1.434476e+00  1.487864e+00
1.490909e+00  1.665340e+00  1.650625e+00  1.635029e+00  1.567182e+00  1.548822e+00  1.524326e+00  1.491580e+00  1.470767e+00  1.428154e+00  1.481581e+00
1.503030e+00  1.659106e+00  1.644363e+00  1.628749e+00  1.560983e+00  1.542603e+00  1.518087e+00  1.485322e+00  1.464569e+00  1.421925e+00  1.475391e+00
1.515152e+00  1.652982e+00  1.638209e+00  1.622575e+00  1.554883e+00  1.536482e+00  1.511946e+00  1.479160e+00  1.458466e+00  1.415788e+00  1.469295e+00
1.527273e+00  1.646968e+00  1.632164e+00  1.616510e+00  1.548881e+00  1.530459e+00  1.505901e+00  1.473094e+00  1.452457e+00  1.409745e+00  1.463291e+00
1.539394e+00  1.641062e+00  1.626227e+00  1.610551e+00  1.542977e+00  1.524533e+00  1.499952e+00  1.467123e+00  1.446542e+00  1.403794e+00  1.457381e+00
1.551515e+00  1.635266e+00  1.620397e+00  1.604700e+00  1.537171e+00  1.518703e+00  1.494100e+00  1.461248e+00  1.440721e+00  1.397936e+00  1.451563e+00
1.563636e+00  1.629578e+00  1.614676e+00  1.598956e+00  1.531463e+00  1.512971e+00  1.488344e+00  1.455469e+00  1.434994e+00  1.392170e+00  1.445839e+00
1.575758e+00  1.624000e+00  1.609062e+00  1.593318e+00  1.525852e+00  1.507336e+00  1.482684e+00  1.449784e+00  1.429360e+00  1.386497e+00  1.440206e+00
1.587879e+00  1.618530e+00  1.603555e+00  1.587787e+00  1.520339e+00  1.501797e+00  1.477120e+00  1.444195e+00  1.423819e+00  1.380915e+00  1.434666e+00
1.600000e+00  1.613168e+00  1.598156e+00  1.582362e+00  1.514924e+00  1.496355e+00  1.471652e+00  1.438700e+00  1.418372e+00  1.375425e+00  1.429218e+00
1.612121e+00  1.607915e+00  1.592864e+00  1.577044e+00  1.509606e+00  1.491010e+00  1.466279e+00  1.433301e+00  1.413018e+00  1.370028e+00  1.423863e+00
